port,port_id,region,long,lat
Bertie County,21201,North Carolina,0,0
Chowan river,21202,North Carolina,-76.70618,36.24285
New Bern,21203,North Carolina,-77.0441143,35.108493
Hyde County,21204,North Carolina,0,0
Roanoke,21205,North Carolina,-75.6495,35.88368
Beaufort,21206,North Carolina,-76.663819,34.718217
Brunswick,21207,North Carolina,-78.202039,34.02754
Cape Fear,21208,North Carolina,-78.484574,34.724508
Edenton,21209,North Carolina,-76.6077212,36.057938
Wilmington,21210,North Carolina,-77.94471,34.2257255
"North Carolina, port unspecified",21299,North Carolina,-75.6495,35.88368
Beaufort,21301,South Carolina,-80.67,32.43139
Charleston,21302,South Carolina,-79.93554,32.78096
Georgetown,21304,South Carolina,0.0001235,0.0001235
"South Carolina, port unspecified",21399,South Carolina,-79.93554,32.78096
Savannah,21401,Georgia,-81.1,32.0833
Sunbury,21402,Georgia,0,0
Tybee Island,21403,Georgia,-80.84567,32.00021
"Cumberland Island,Georgia",21404,Georgia,81.4484,30.8511
Jekyll Island,21405,Georgia,-81.421653,31.051124
"Georgia, port unspecified",21499,Georgia,-81.1,32.0833
St. Augustine,21501,Florida,-81.3147,29.8944
Pensacola,21502,Florida,-87.1815,30.55812
Amelia Island,21503,Florida,-81.442,30.687
Key West,21504,Florida,-81.78403,24.55917
Indian River,21505,Florida,0.0001235,0.0001235
East Florida,21506,Florida,0.0001235,0.0001235
"Florida, port unspecified",21599,Florida,-81.3147,29.8944
New Orleans,21601,Gulf coast,-90.066667,29.95444
La Balise,21602,Gulf coast,-89.1072,29.1222
Louisiana,21603,Gulf coast,-92.67,29.52468
Biloxi,21604,Gulf coast,-88.94993,30.39195
Mississippi,21605,Gulf coast,-89.28,30.30501
Mobile,21606,Gulf coast,-88.04306,30.69444
Vicksburg (MS),21607,Gulf coast,-90.886714,32.317838
"Gulf Coast, port unspecifed",21699,Gulf coast,-92.67,29.52468
Quebec,21701,Canada,-71.25,46.8
New Brunswick,21702,Canada,-65.2178,46.77556
St. John,21703,Canada,0,0
Newfoundland,21704,Canada,-57.42457,48.34364
Nova Scotia,21705,Canada,-63.87373,44.87737
Halifax,21706,Canada,-63.6,44.65
Mahone Bay,21707,Canada,-64.30758,44.56642
"Roseway, NS",21708,Canada,-65.349747,43.633266
"Canada, port unspecified",21799,Canada,0,0
Smithfield,21801,Kentucky,-85.254735,38.386762
Louisville,21802,Kentucky,-85.666708,38.178077
"Kentucky, port unspecified",21899,Kentucky,-84.27,37.8393
Newport and Boston,21901,Other North America,0,0
Newport and Salem,21902,Other North America,0,0
New England,21903,Other North America,-69.17,44.12283
Carolinas,21904,Other North America,-79.93554,32.78096
"Washington, DC",21906,Virginia,-77.0368707,38.9071923
"USA, location unspecified",21999,Other North America,-79.93554,32.78096
Nashville,22001,Tennessee,-86.812866,36.149937
"Tennessee, port unspecified",22099,Tennessee,-86.5804,35.5175
Woodville,22101,Texas,-94.4155,30.7752
"Texas, port unspecified",22199,Texas,-99.9018,31.9686
Isabela,31102,Hispaniola,-71.25,18.45
Monte Christi,31103,Hispaniola,-71.65,19.86667
Samana,31104,Hispaniola,-69.32,19.21667
San Domingo (a) Santo Domingo,31106,Hispaniola,0,0
Ocoa,31107,Hispaniola,0,0
Nizao,31108,Hispaniola,0,0
Puerto de Plata,31109,Hispaniola,0,0
Isla Saona,31110,Hispaniola,0,0
"Hispaniola, unspecified",31199,Hispaniola,-69.9,18.46667
San Juan,31201,Puerto Rico,-66.10572,18.46633
Ponce,31202,Puerto Rico,-66.6141,18.0111
"Puerto Rico, port unspecified",31299,Puerto Rico,-66.10572,18.46633
Bahia Honda,31301,Cuba,-83.15917,22.90361
Banes,31302,Cuba,-75.71861,20.9625
Cabanas,31303,Cuba,-82.92194,22.97583
Caibarien,31304,Cuba,-79.46694,22.52056
Canasí,31305,Cuba,-81.78139,23.1125
Cardenas,31306,Cuba,-81.20472,23.0375
Cienfuegos,31307,Cuba,-80.43556,22.14611
"Cuba, south coast",31308,Cuba,-75.73811,19.95076
"Cuba, west coast",31309,Cuba,-83.38027,22.91945
Estuary of River Guane,31310,Cuba,-84.08389,22.20056
Guanimar,31311,Cuba,-82.65361,22.68833
Havana,31312,Cuba,-82.36417,23.13194
Isla de Pinas,31313,Cuba,-82.82405,21.68331
"Magari, Manzanillo",31314,Cuba,-77.11667,20.34333
Mariel,31315,Cuba,-82.75361,22.9875
Matanzas,31316,Cuba,-81.5775,23.04111
"Matanzas province, north",31317,Cuba,-81.5775,23.04111
"Matanzas province, south",31318,Cuba,-81.5775,23.04111
Nuevitas,31319,Cuba,-77.26444,21.54528
Puerto Padre,31320,Cuba,-76.60278,21.195
Sagua,31321,Cuba,-80.07556,22.80667
San Juan de los Remedios,31322,Cuba,-79.54583,22.49472
Santiago de Cuba,31323,Cuba,-75.82194,20.02472
Trinidad de Cuba,31324,Cuba,-79.98417,21.80194
Batabanó ,31326,Cuba,0,0
Baracoa,31327,Cuba,0,0
Punta Macurijes,31328,Cuba,-78.486667,21.028056
South Keys,31329,Cuba,0.0001235,0.0001235
Puerto Principe,31330,Cuba,0.0001235,0.0001235
Holguín,31331,Cuba,0.0001235,0.0001235
Bacuranao,31332,Cuba,-82.239824,23.174483
"Cuba, port unspecified",31399,Cuba,-79.221991,22.39915
San Andrés,31401,Other Spanish Caribbean,0.0001235,0.0001235
"Spanish Caribbean, unspecified",31499,Other Spanish Caribbean,-69.9,18.46667
Curaçao,32110,Dutch Caribbean,-68.91667,12.1
Aruba,32120,Dutch Caribbean,-70.03333,12.51667
Bonaire,32130,Dutch Caribbean,-68.5,12.2
St. Maarten,32140,Dutch Caribbean,-63.03333,18.1
Cul de Sac (St. Maarten),32141,Dutch Caribbean,-63.03,18.1
St. Eustatius,32150,Dutch Caribbean,-62.98333,17.46667
Saba,32151,Dutch Caribbean,-63.24919,17.6259
"Dutch Caribbean, colony unspecified",32199,Dutch Caribbean,-68.91667,12.1
Guiana,32201,Dutch Guianas,-55.67599,5.95859
Nova Zeelandia (Wild Coast),32202,Dutch Guianas,-55.67599,5.95859
Essequibo,32230,Dutch Guianas,-58.35479,7.04396
Suriname,32240,Dutch Guianas,-55.67599,5.95859
Paramaribo,32241,Dutch Guianas,-55.16667,5.83333
Berbice,32250,Dutch Guianas,-57.93,6.6713
"Dutch Guianas, colony unspecified",32299,Dutch Guianas,-55.67599,5.95859
Bijsterpan,32301,Other Dutch Americas,0.0001235,0.0001235
"Other Dutch Americas, colony unspecified",32399,Other Dutch Americas,0,0
"Tortola, port unspecified",33299,Tortola,-64.72,18.34732
"Anguilla, port unspecified",33399,Anguilla,-63.05,18.21667
Saint John (Antigua),33401,Antigua,-61.85,17.11667
Barbuda,33402,Other British Caribbean,-61.770729,21.398318
"Antigua, port unspecified",33499,Antigua,-61.85,17.11667
"St. Kitts, port unspecified",33599,St. Kitts,-62.71667,17.3
Newcastle (Nevis),33601,Nevis,-62.58333,17.2
"Nevis, port unspecified",33699,Nevis,-62.58333,17.2
"Montserrat, port unspecified",33799,Montserrat,-62.21667,16.7
Roseau,33801,Dominica,-61.3793554,15.3091676
St. Marc,33802,Dominica,-61.344352,15.219592
"Dominica, port unspecified",33899,Dominica,-61.4,15.3
"St. Lucia, port unspecified",34199,St. Lucia,-61,14
King's Harbour,34201,Barbados,-59.62,13.1
Speightstown,34202,Barbados,-59.637713,13.253123
"Barbados, port unspecified",34299,Barbados,-59.6,13.1
"St. Vincent, port unspecified",34399,St. Vincent,-61.21667,13.13333
"Grenada, port unspecified",34499,Grenada,-61.75,12.05
"Trinidad, port unspecified",34599,Trinidad,-61.51667,10.65
Zion Hill,34601,Tobago,-60.61667,11.23333
"Tobago, port unspecified",34699,Tobago,-60.66667,11.25
Annotto Bay,35101,Jamaica,-76.76667,18.26667
Antonia,35102,Jamaica,-76.46667,18.18333
Black River,35103,Jamaica,-77.85,18.01667
Falmouth (Jam.),35104,Jamaica,-77.65,18.5
Lucea (a) St. Lucea,35105,Jamaica,-78.16667,18.45
Martha Brae,35106,Jamaica,-77.65,18.46667
Montego Bay,35107,Jamaica,-77.91667,18.46667
Morant Bay,35108,Jamaica,-76.42,17.88333
Port Maria,35109,Jamaica,-76.9,18.36667
Port Royal,35110,Jamaica,-76.92,17.9333
Saint Ann's Bay,35111,Jamaica,-77.2,18.43333
Savanna la Mar,35112,Jamaica,-78.13333,18.21667
Spanish Town,35113,Jamaica,-76.95,17.98333
Kingston,35114,Jamaica,-76.8,17.98333
"Jamaica, port unspecified",35199,Jamaica,-76.8,17.98333
New Providence,35201,Bahamas,-77.39683,24.99364
Turk's Island,35202,Bahamas,-71.11667,21.4
Nassau,35203,Bahamas,-77.38108,25.07606
Cat Island,35204,Bahamas,0.0001235,0.0001235
Exuma,35205,Bahamas,-75.969546,23.61926
Heneague,35206,Bahamas,0.0001235,0.0001235
"Bahamas, port unspecified",35299,Bahamas,-78.7,26.53333
Cumingsberg,35301,British Guiana,-58.16667,6.81667
Stabroek,35302,British Guiana,-58.15,6.81667
Demerara,35304,British Guiana,-58.168711,6.810204
Kingston (Demerera),35305,British Guiana,-58.17,6.81667
"British Guina, port unspecified",35399,British Guiana,0.0001235,0.0001235
Mosquito Shore,35401,British Honduras,-83.38333,14.03333
"British Honduras, port unspecified",35499,British Honduras,-88.188611,17.498611
Antigua or Dominica,35502,Other British Caribbean,0,0
Barbados and Jamaica,35503,Other British Caribbean,0,0
Dominica or Jamaica,35504,Other British Caribbean,0,0
Jamaica or St. Kitts,35505,Other British Caribbean,0,0
British Leewards,35507,Other British Caribbean,-63.05,18.21667
Bermuda,35508,Other British Caribbean,-64.78389,32.29417
Hamilton (Bermuda),35509,Other British Caribbean,-64.78389,32.29417
Becquia,35510,Other British Caribbean,-61.227231,13.011706
Grand Caymans,35511,Other British Caribbean,-81.240869,19.32217
Providence Island,35512,Other Spanish Caribbean,-81.372937,13.338761
"British Caribbean, colony unspecified",35599,Other British Caribbean,-76.8,18
Fort-Royale,36101,Martinique,-61.08333,14.6
Saint-Pierre,36102,Martinique,-61.16667,14.73333
"Martinique, port unspecified",36199,Martinique,-61.16667,14.63333
Basse-Terre,36201,Guadaloupe,-61.71667,16
Pointe-à-Pitre,36202,Guadaloupe,-61.51667,16.23333
Marie-Galante,36203,Guadaloupe,-61.26667,15.93333
"Grande-Terre, port unspecified",36204,Guadaloupe,-61.4669,16.2732
"Guadeloupe, port unspecified",36299,Guadaloupe,-61.71667,16
Cayenne,36301,French Guiana,-52.33333,4.93333
Oyapock,36302,French Guiana,-51.8,3.9
"French Guiana, port unspecified",36399,French Guiana,0,0
Tortuga,36401,Saint-Domingue,-72.78667,20.04634
Arcahaie,36402,Saint-Domingue,-72.5125,18.76944
Cap Français,36403,Saint-Domingue,-72.204,19.75
Cayes (Les),36404,Saint-Domingue,-73.75,18.2
Cul-de-Sac,36405,Saint-Domingue,-72.36667,19.06667
Fort Dauphin,36406,Saint-Domingue,-71.83972,19.66778
Jacmel,36407,Saint-Domingue,-72.53472,18.23417
Jérémie,36408,Saint-Domingue,-74.11667,18.65
Léogane,36409,Saint-Domingue,-72.63389,18.51083
Môle Saint Nicolas,36410,Saint-Domingue,-73.38,19.8
Petit-Goâve,36411,Saint-Domingue,-72.86694,18.43139
Port-au-Prince,36412,Saint-Domingue,-72.335,18.53917
Port-de-Paix,36413,Saint-Domingue,-72.83087,19.93276
Saint-Marc,36414,Saint-Domingue,-72.7,19.11667
Île à Vache,36415,Saint-Domingue,-73.6512,18.0694
Cap Tiberon,36416,Saint-Domingue,0.0001235,0.0001235
Gonaïve,36420,Saint-Domingue,72.680158,19.45115
"Saint-Domingue, port unspecified",36499,Saint-Domingue,-72.20417,19.75778
"French Caribbean, colony unspecified",36599,Other French Caribbean,-72.20417,19.75778
St. Croix,37010,Danish West Indies,-64.82,17.77305
St. Thomas,37020,Danish West Indies,-64.94,18.34141
St. John (Virgin Islands),37030,Danish West Indies,-64.7399494,18.3274718
"Spanish Town, British Virgin Islands",37040,Other British Caribbean,-64.430411,18.449853
"Danish West Indies, colony unspecified",37099,Danish West Indies,-64.8,18.02
"Gustavia, St. Barthélemy",38101,St. Barthélemy (Sweden),-62.8317,17.9002
"St. Barthélemy, port unspecified",38199,St. Barthélemy (Sweden),-62.83333,17.9
Caribbean (colony unspecified),39001,Other Caribbean,-70,20
West Indies (colony unspecified),39002,Other Caribbean,-70,20
Orici,39003,Other Caribbean,0.0001235,0.0001235
Bottomaneau,39004,Other Caribbean,0.0001235,0.0001235
Bottomaneau (location undetermined),39040,Codes without labels,0.0001235,0.0001235
"Caribbean, port unspecified",39999,Other Caribbean,0,0
New Spain,41201,Spanish Circum-Caribbean,-87.609757,18.983208
Campeche,41202,Spanish Circum-Caribbean,-90.53333,19.85
Veracruz,41203,Spanish Circum-Caribbean,-96.13,19.17
Guatemala,41204,Spanish Circum-Caribbean,-88.7,15.8
Santo Tomas,41205,Spanish Circum-Caribbean,-88.61667,15.7
Portobelo,41206,Spanish Circum-Caribbean,-79.65,9.55
Cartagena,41207,Spanish Circum-Caribbean,-75.51444,10.39972
Santa Marta,41208,Spanish Circum-Caribbean,-74.20167,11.24722
Venezuela,41210,Spanish Circum-Caribbean,-67.96444,10.44528
